0;경제와 관련되어 있는 요소입니다.
155;주민들의 사회 체제가 발전함에 따라, 인류 모두가 발전을 위해 사용하는 한계가 정해진 공통 자원의 사용을 제한하지 않는다면, 결국 자원이 영영 고갈되어버리는 '공유의 비극'이 일어나게 됩니다. 이를 방지하기 위해선, 주민들은 체계를 갖추고, 개인주의적 행동에 제한을 두되, 집단은 생존해 나갈 수 있도록 법률과 주민 규정을 이용해 공동의 이익을 위한 규칙을 만들어야 합니다. 바로 이러한 상황에서 나오는 충돌, 개인과 집단 간의 충돌이 바로 문명의 건설에 아주 기본적인 핵심 행동이 되어줄 것입니다.
156;생태계의 동물과 식물은 인간이 살아남을 수 있는 수단이 되어줍니다.
157;농업은 인간에게 유용한 식물의 종을 채취하고 길러, 전 세계적인 식량의 공급량을 생산하기까지의 모든 방법을 의미합니다. 또한 농업은 재생 가능한 에너지를 생산하기 위해 필요한 바이오 연료와 같이, 산업적인 목적에 초점을 맞출 수도 있습니다.

농업인은 작물의 상태뿐만 아니라 자원의 고갈과 오염 등을 피하고, 토양의 양분 또한 신경 써 주어야만 합니다. [CompostFertilizerItem]를 이용하거나 토양의 상태를 확인 할 수 있는 수단인 [SoilSamplerItem]가 농경지의 생산성을 유지시킬 중요한 도구가 되어 줄 것입니다. 사회가 커져감에 따라 식량과 연료의 필요량 또한 늘어가기에 다양한 이동수단, 저장기술, 그리고 더욱 발전된 도구들이 그에 맞게 농사 영역의 확장에 도움이 되어줄 것입니다.

농업은 Eco의 세계에서 우리들이 발전을 목표로 함에 있어 기술 수준의 향상과 활동 영역의 확장을 위해 필요한 거대한 수단 중 하나입니다. 여러 균형을 맞추는 행동과 저장의 기능은 농업이 발전하기 위한 핵심 요소인데, 사회가 기술적으로 발전하기 위해서는 농업인에게 그에 맞는 식량 및 연료가 필요할 것이기에, 생산품 공급에 도움이 되어 줄 저장 구조물과 여러 방법을 지원하고 있습니다. 농업은 농업 그 자체만으로도 발전과 확장의 가능성을 내포하고 있는데, 그중 씨앗의 개량 및 개발을 통해 해당 농산물이 더욱 생산적으로 변하거나 오염, 또는 다른 환경적인 요인에 저항하는 능력을 갖추게 할 수 있습니다.
158;토양
159;Eco 세계의 토양에는 식물이 자라고, 종의 번성을 가져다줄 양분을 머금고 있습니다. 토양의 양분이 너무 과잉되거나 결핍된 경우, 농사 중인 작물과 자연적으로 생성된 식물 모두의 성장 속도와 수확량에 변화가 생기게 됩니다. 식물은 자라면서 토양의 양분을 흡수하고, 흡수한 양분은 죽음과 함께 토양에 다시 돌아가는 자연의 균형이 이루어지고 있습니다. 그런 자연에서, 플레이어는 식물을 채취하고, 숲을 벌목하며, 채광, 그리고 오염물질 발생을 통해 토양에선 양분이 천천히 사라져 갑니다. 플레이어는 양분이 사라진 토양에 비료를 사용하여 토양의 양분 농도를 맞출 수 있습니다.

여기서 우리는 식물종의 계층이 동물들에게 의존하려는 성질을 증가시킴으로써, 토양과 양분을 주고받는 식물을 소비해버리는 동물들을 생태계에 조성하여 토양에서 양분을 사라지는 상황을 만들어 두었습니다. 이 외에도 플레이어가 고려해야 하는 것은, Eco의 겉흙은 어떠한 특별 성질을 가지고 있느냐입니다. 하지만 현재 해당 기능은 개발 중이기 때문에, 지형에 따라 지역을 구분 지어 겉흙층을 설정해두었으나, 그럼에도 각 지형에서 가장 귀중하고 가치 있는 자원은 진흙과 흙이 아닌 겉흙입니다.
160;식물과 동물의 생명 시스템은 인간이 살아남을 수 있는 수단이 되어 줍니다.
161;당신이 서 있는 대지의 밑 부분에는 매우 다양한 종류의 자원들, 바위, 금속, 그리고 다른 여러 광물 퇴적층으로 이루어져 있습니다. 다른 종류의 바위들로 인해 각 종류의 광물 퇴적층이 생기며 석유처럼 다른 자원들을 가두어둡니다. 현실 지구의 거대한 자원 형태와는 달리 Eco의 세계의 경우 채취하게 될 재료의 균형을 위해 시작한 위치의 재료의 종류를 가늠할 수 있도록, 바위와 퇴적물들의 위치가 지형들을 기반으로 생성됩니다. 각 지형과 연관이 있는 바위와 퇴적물의 종류가 해당 지하자원 층에 넓게 분포되어 있습니다.
162;직접 채광하기
163;광석을 캐내고 싶다면, 먼저 위치를 지정해야 합니다. Eco의 세계에서 광석의 종류는 특정 바위마다 지정되어있기에, 어떤 종류의 바위에 어떤 광석이 포함되어있는지 확인하고, 그와 관련된 바위를 캐는 것이 좋은 시작이 될 것입니다. [WoodenShovelItem]이나 그보다 높은 단계의 도구를 이용해 지반의 흙을 파내거나, 언덕의 옆부분을 파기 시작하십시오. 이후 바위와 마주하게 된다면, 이제부터는[StonePickaxeItem]와 같은 도구를 이용해 채굴해야 합니다. 곡괭이를 이용해 바위를 캘 때, 가끔은 크게 조각이 나게 되는데, 이때 한 번 더 부숴 손에 들 만큼의 조각으로 나누어주어야 합니다. 바위를 채취할 때, 돌을 다른 곳에 쌓아두거나, [StockpileItem]를 이용 할 수 있고, 광석을 [WoodCartItem] 와 같은 이동수단을 이용해 옮기는 걸 추천 드립니다.
164;광물처리 하기
165;다량의 금속 광석을 채취했다면, 그 광석으로 물품을 만들기 전 처리 과정을 거쳐 제련해야 합니다. 이 작업은 지저분하고 비용이 많이 들며, 처리 작업으로 인해 생기는 부산물을 어떻게 관리해야 할 지에 관한 문제도 해결해야만 할 것입니다. 광물을 처리하는 과정을 크게 세 가지로 나누어 분류하면 다음과 같습니다.

분쇄 과정: 분쇄 작업은, 바위를 아주 작은 크기로 조각내어 다음 과정으로 진행할 수 있게 만들어줍니다. 바위를 부수는 과정 중 바위에 포함되어 있는 광물이 해당 작업의 부산물이 될 것입니다.
정광 과정: 광석이 포함되어있는 바위에서 광석과 광석이 붙어있던 바위를 분리하는 과정입니다. 이 과정은 절대로 완벽하지 않기에, 정광 작업을 한 바위라도 아직 광석이 남아있는 바위가 무조건 적으로 나오게 됩니다. 바로 이 광물이 남아있는 바위 조각들이 바로 [TailingsItem] 입니다. [CopperOreItem]과 [GoldOreItem]은 바위와 광석을 분리하기 위해서 녹여내는 침출 과정과 습식 과정을 거쳐야 하는데, 이 과정을 통해 진행하는 정광 작업은 휘발하는 오염물질을 뿜어내는 [WetTailingsItem]이 부산물로 나오게 됩니다.
제련 과정: 정광 작업을 통해 광물을 다듬었다면, [BloomeryItem] 또는 그보다 높은 등급의 구조물을 통해 광물을 녹여 주괴의 형태를 만드는 제련과정을 통해 [IronBarItem]와 같은 물품을 생산 할 수 있습니다.
166;생태계의 동물과 식물은 인간이 살아남을 수 있는 수단이 되어줍니다.
167;주민들은 요리를 위해 불을 피우거나, 에너지 생산, 금속 제련, 하수 시스템을 이용하거나, 그 밖의 셀 수 없을 만큼 다양한 산업 활동을 할 때, 오염물질이 가장 흔히 부산물로 나오게 됩니다. 여기서 말하는 오염물질이란, 자연으로 다시 돌아갈 때 독소를 내뿜거나 주변을 오염시키는 공해를 일으키는 물질을 뜻합니다. Eco에선 다양한 원인으로 발생하는 오염의 종류들 또한 다양한데, 그중 몇몇은 다른 것들보다 더욱 강력한 영향을 끼칩니다. 중금속은 토양오염을 발생시키고, 대지 위에서 살아가는 동물과 식물들의 영양과 상태에 영향을 미칠 수 있습니다. 수질오염은 빠르고 넓게 퍼지며 거대한 규모로 영향이 넓혀집니다. 대기오염은 화덕 또는 발전소에서 나오며, 이는 눈으로 보일 수도, 눈에 보이지 않을 수도 있는데, 이 물질들이 온실가스를 만들고 공기의 질에 영향을 미치며, 다시금 산성비로 변해 대지에 영향을 미칩니다.

생태계를 보전하고 수질과 토양 같은 자원 또한 보존 위해선, 플레이어는 문명의 영향으로 생기는 오염물질의 근원을 억제하고 관리해야만 합니다. 때에 따라, 오염물질의 방출이나 오염의 농도가 너무나 심각해 불가피한 상황이 된다면, 정화 작업과 오염물질의 철저한 저장 및 보관이 이 땅을 오염시키지 않게끔 할 유일한 방법이 될 수도 있을 것입니다.
168;토양 오염
169;토양과 지하의 수면에 오염이 방출되면, 오염물질로 오염이 진행된다면 막거나 되돌리는 것은 매우 힘듭니다. Eco의 세계에선, 토양 오염을 일으키는 비율은 광재가 가장 많은 비중을 차지하고 있고, 플레이어가 제작 활동 중 생기는 찌꺼기 등의 물질 또한 포함되어 있습니다. 오염의 근원이 남아있거나 늘어나게 되어 농도가 증가한다면, 시간이 지날수록 퍼지는 속도와 상태가 급격히 심해질 것입니다. 토양에 영향을 주고 있던 오염 물질의 근원이 사라지게 된다면, 그 또한 시간이 흐르면서 퍼져가며 사라질 것입니다.
170;대기 오염
171;플레이어들은 생산활동을 통해 해로운 배출물을 발생시키는데, 이게 대기 중으로 퍼져나간다면 대기오염을 발생시킵니다. 구조물로 이산화 탄소가 배출되는 물품을 생산하거나, 발전소를 가동한다면 해당 지역, 그리고 전 세계적인 대기질 지수에 영향을 미칩니다. 오랫동안, 전 세계적인 이산화 탄소 수치는 온실효과를 발생시키며 해수면의 높이가 높아지는 결과를 가져오게 됩니다. 이산화 탄소와 같은 오염물질의 수치는 숲과 같은 자연물을 통해 수치가 감소할 수 있습니다.

대기 오염의 농도는 개발자들이 대기오염과 국지적 강우량의 상관관계를 시뮬레이션한 내용을 토대로, 산성비를 통해 땅으로 흐르면서 다시 수치가 떨어지게 될 것입니다.
172;수질 오염
173;물은 오염을 넓게, 그리고 멀리 빠르게 퍼뜨리며, 하류를 통해 강 또는 바다로 흘러 들어가는 심각한 오염의 매개체가 됩니다. 물을 통한 오염은 일반적으로 근처 토양의 오염에 영향을 미쳐 발생하지만, 대량의 대기오염의 결과인 산성비를 통해서도 물이 오염될 수도 있습니다.

오염의 근원을 제거할 유일한 방법은 현재로선 오염물질의 유입 자체를 막는 것뿐이지만, 미래를 위해 깨끗한 환경을 조성하고 정화작업을 고려할 수는 있습니다.
174;오염물질 밀폐수단
175;대부분의 경우, 오염 물질을 처리하는 완벽한 해결책이란 없습니다. 다양한 종류의 오염물질을 보관하기 위해 공간을 확보하고, 오염물질을 보관하여 주변에 영향을 미치지 않도록 방지해야만 합니다. 이는 Eco의 궁극적인 목표인 산업의 유지를 위해서 필수로 지켜야 할 핵심이 될 것입니다. 현재의 버전에서의 광재를 처리하는 방법은 지하 깊은 곳에 보관뿐인데, 관련 기능은 이후 개발을 통해 업데이트하겠습니다.

밀폐수단의 기능 개발이 바로 Eco의 개발자가 오염 관련 기능 중 가장 우선적으로 개선하고자 하는 기능입니다. 방대한 양의 광재와 폐기물을 만들어내는 사회이기에, 플레이어는 밀폐수단을 이용해 오염 문제를 해결해야만 합니다.
176;식물과 동물의 생명 시스템은 인간이 살아남을 수 있는 수단이 되어 줍니다.
177;헌법 조항에서는 정부의 역할을 다음과 같이 정의하고 있습니다. 정부는 법률을 통과시킬 사람을 선택해, 세율을 조정하고, 법률을 변경하는 등의 일을 하는 곳입니다.  이는 곧 정부 활동을 하려면, 특정한 [Election Process|Election Processes]을 따른 선거가 필요하다는 것을 의미합니다.
헌법 조항은 두 가지 방법으로 추가할 수 있습니다.  [CapitolItem]에서, 세 가지 까지 추가할 수 있고, [AmendmentsItem]에서 구조물당 열 가지 씩 더 추가 할 수 있습니다.

정부가 정한 규칙을 정확히 정의해야 하는 이유는, 사회를 구조를 보다 안정적으로 지탱하기 위함입니다.  정부는 법의 힘을 이용해 세계 전체를 다스릴 권한을 부여받기에, 그 힘을 남용할 시 위험으로 돌아올 수 있습니다.  그렇기에 주민들은 각 분야마다 다루는 권력의 분야를 분할해서 서로 상호 발전적인 관계를 만들어, 이후 지도자가 바뀌는 상황같이, 여러 변화를 겪는 도중에도 정부가 제 기능을 유지하고 세계가 긍정적인 변화를 추구하도록 해야 합니다.
178;정부의 일 처리에 대한 지침을 모아두었습니다.
179;헌법이란, 사회가 어떻게 통치될 것 인가를 정의한 수립 문서입니다.  헌법은 다른 정부 구조물이 설치 되기 전 우선적으로 제정해 두어야만 합니다. [Capitol|CapitolItem]에서 제정할 수 있습니다.
정부 선포하기
중앙정부 구조물을 설치하면, 구조물의 설정 창을 연 후 법률을 적은 후 통과 시켜 사람들에게 발표할 수 있습니다. 더 제정할 헌법이 없다면, 정부는 그 즉시 설립됩니다.

이미 시행되고 있는 헌법이 있다면, 서버의 설정에 따라서, 중앙정부 구조물이 설치되어있는 공간의 방 등급 수치가 헌법이 이미 시행되고 있는 방의 수치보다 높아야만 헌법이 받아들여질 수 있습니다.

덧붙이자면, 이후 업데이트를 통해 같은 서버 안에서 여러 정부가 동시에 운영될 수 있게 할 예정입니다.
180;정부의 수립 문서 입니다.
181;  인구관리는 주민의 직급을 나누는 기능으로, 정부를 통해 관리할 수 있습니다. 이 기능을 이용해서 어느 곳에서나 주민들을 특정할 수 있습니다 (권한, 법률, 등의 대상 설정 기능).

예를 들어, 벌목 기술이 3 이상인 플레이어들을 하나로 묶어, '나무꾼'이라는 이름의 하나의 직급으로 정의할 수 있습니다.  그 이후, '나무꾼' 에게 나무를 벌목할 수 있는 권한을 주는 법률을 제정할 수 있습니다.

인구관리는 [Census Bureau|CensusBureauItem]을 통해 관리할 수 있습니다.

또한 인구관리를 통해 직급을 나누어 급여를 지급할 수 있습니다.  주민이 직급의 조건을 준수하고 있는 동안 주기적으로 급여를 받을 수 있습니다.
182;주민들을 특정 기준에 맞추어 규정합니다.
183;플레이어는 [ZoningOfficeItem]에서 구역을 설정할 수 있으며, 법률로 지정한 특정 구역으로써도 사용될 수 있습니다.
구역이란 특정 범위를 선택해 지정해 둔 것으로, 구역끼리는 서로 영향을 미치지 않으며, 구역의 범위는 언제든지 변경할 수 있습니다.  구역은 구역지도의 안에서 지정 가능하며, 구역지도의 생성은 제한이 없습니다. 하지만, 같은 구역지도에서는 구역 범위를 겹쳐놓을 수는 없습니다.

구역은 법에 위배되지 않는 행동만 할 수 있도록 설정할 수 있습니다. 예를 들어, '보호 구역'에서는 나무를 베는 것을 금지하는 법률을 만들어서, 해당 구역을 보호할 수 있습니다.
184;법률과 그 밖의 시스템에서 대상으로 이용 할 수 있도록, 특정 범위를 구역으로 정할 수 있습니다.
185;공직자 직위는 정부의 공식적인 직위로, 정부의 방침을 관리 할 수 있는 권한을 가지고 있습니다. 증명이 필요한 상황에서 해당 직위를 통해서 증명할 수 있습니다(권한, 법률 등 직위가 조건으로 필요한 곳).
공직자 직위는 [GovernmentOfficeItem]에서 생성할 수 있습니다. 생성하려 하는 공직자 직위는 다음과 같은 몇 가지의 조건이 붙습니다.

 - 직위를 누가 맡을 것인가를 [Election Process|Election Processes]을 통해 선출합니다
 - 몇 명에게 해당 공직자 직위를 수여 할 것인지 정해야 합니다
 - 정부를 위해 일할 재직 기간을 설정해야 합니다
 - 해당 직위를 가진 사람이 퇴임하게 되면 그 자리를 어떻게 이을 것인지 정해야 합니다

공직자 직위를 만들 때, 다음과 같은 권한들도 설정할 수 있습니다.

 - [TreasuryItem]에서 세율을 설정할 수 있는 권한
 - 국고 계좌에 보관되어 있는 자금을 이용할 수 있는 권한
 - 개인 재산 통계에 포함되지 않는 정부 은행 계좌를 개설할 수 있는 권한
 - 세계 지도에서 주민들의 확인이 필요한 지점을 마커로 표시할 수 있는 기능의 여부

공직자 직위는 직위를 가지고 있는 주민들이 주기적으로 받는 급여의 설정 권한을 부여받을 수 있습니다.
186;공직자 직위는 정부의 공식적인 직위로, 정부 방침을 관리할 수 있는 권한을 부여받을 수 있습니다.
187;[BoardOfElectionsItem]에서 주민들은 선거의 방식을 직접 설정해, 정부와 지도부의 다양한 형태의 변화를 만들어 낼 수 있습니다.
[Civic Articles]은 선거가 진행하는 도중에도 참조가 가능하므로 선거에 필요한 대처 방법을 확인 할 수 있습니다.  [GovernmentOfficeItem]에서 뽑는 [Elected Titles]의 선거의 경우엔, 해당 직위에 선출이 될 후보자들을 나열해 두어야만 합니다.

선거의 조건 설정에는 투표권자의 집단, 거부권 행사 여부, 선거의 기간, 선거 승리에 필요한 비율 등이 있고, 이는 매 선거마다 설정할 수 있습니다.  주민들은 각각 다른 방식의 선거를 통해 정부에 앉힐 직위의 권력을 분배합니다. 주민들이 이렇게 할 수 있는 이유는, 세계에서 가장 강력한 권력을 가지는 직위도 결국 전 세계의 주민들이 선거를 통해 뽑고, 탄핵 또한 주민들에 의해 당할 수 있기 때문입니다.
188;선거가 진행되는 방식을 규정합니다.
189;선거의 방식은 다음과 같이 두 가지로 나눌 수 있습니다.
 - 공직자 선거 . 해당 선거는 [Elected Titles]를 가진 이가 선거를 통해 특정 시민에게 권한을 부여할 수 있습니다.
 - 국민투표.  해당 선거는 찬성 또는 반대를 표해, 주민의 참정권이 필요한 일을 투표로 결정을 내릴 수 있습니다.

선거는 주민들이 다양한 권리를 이행할 수 있는 [BallotBoxItem] 에서 시작할 수 있습니다.  어떤 [Civic Articles]이 집행되고 있는지에 따라, 권리의 이행에 선거가 필요할 수도, 필요하지 않을 수도 있습니다. 만약 선거가 필요하다면, 즉시 선거를 시작할 수 있습니다.

선거는 [Election Process|Election Processes]에서 정한 방식에 따라 다양한 설정을 할 수 있습니다. 선거에 참여할 수 있는 집단, 거부권의 여부, 선거의 기간, 안건이 통과될 수 있는 찬성의 비율 등을 정할 수 있습니다.  여러 형태의 선거는 각자 다른 목적을 지니고 있습니다. 예를 들어, 정부를 대표하는 이들은 공직자만이 투표할 수 있는 공직자 선거만을 시행할 수 있으며, 반면에 대부분의 주민들은 정부의 대표자를 뽑는 선거만을 시행할 수 있습니다.
190;주민 집단의 여론을 통해서 공직자를 결정하거나, 안건에 대한 국민투표를 시행합니다.
191;행정 업무는 일회성으로 하는 집행이며, 특정 주민 집단 또는 주민 전체에게 즉시 적용할 수 있습니다.
행정 업무는 [ExecutiveOfficeItem]에서 [Civic Action Component]를 이용해 제의할 수 있습니다. 이 집행에는 세 가지의 주요 효과가 있습니다.

 - 특별 [Tax|Taxes] 징수하기
 - 주민에게 [TreasuryItem]에서 자금 대주기
 - 소유하고 있던 [Property]의 소유자 변경하기

시행 중인 [Civic Articles]에 따라, 이러한 집행들은 선거가 필요할 수도 있습니다. [Elected Titles]를 가진 이만 행정 업무를 집행 할 수 있게 하는 몇몇 헌법 조항도 존재합니다.
192;정부의 공직자가 행하는 행정 처분으로, 세금, 부지 등과 관련된 업무를 합니다.
193;'현명한 자들이 정치에 참여하길 거부한다면, 그에 대한 대가는 저질스러운 자들의 정치 아래 살게 되는 것이다.'\n- 플라톤
194;생태계와 경제, 그 사이에서 생존과 번영 모두를 쟁취하려는 주민들에 의해 운영되는 정부가 존재하고 있습니다.
195;    정부는 주민들에 의해 만들어지며, 정부의 권력과 역량이 차근차근 커짐과 동시에 대중들의 힘 또한 같이 커집니다.  정부는 다음과 같이 구성되어 있습니다.
196;[Constitution]정부가 완전히 구성되기 전에 제정할 수 있으며, [CapitolItem]을 이용해 제정할 수 있습니다. 헌법 조항을 통해서 정부의 운영 방향에 관해 결정할 수 있습니다.
197;[Civic Articles]헌법은 정부가 어떻게 기능할지 나열한 헌법조항들로, 누가, 무엇을, 어떻게 할 것인지로 이루어져 있습니다.  [CapitolItem]에서 새로운 헌법을 제정하거나, [AmendmentsItem]를 이용해서 이미 존재하고 있는 헌법에 추가로 개정할 수 있습니다.
198;[Laws]법률은 모든 주민이 무조건 따라야 할 규칙과 절차입니다.  [CourtItem]은 법률을 총 3개까지 유지할 수 있습니다.
199;[Elections]선거는 헌법에서 설정한 대로, 선거가 필요한 안건을 제의할 때 자동으로 시행됩니다. 다음과 같은 경우에 선거가 필요할 수 있습니다 (법률의 개정, 지도자 선출, 행정 업무).
200;[Election Processes]선거 과정을 통해 선거가 어떻게 진행될지 설정할 수 있습니다. 투표권자의 집단과 거부권 행사자, 투표의 기간, 얼마만큼의 득표가 필요한지 등을 설정할 수 있습니다. 선거의 진행은 [BoardOfElectionsItem]에서 세 개까지 가능합니다.
201;[Elected Titles]공직자 직위는 정부에서 특별한 권한을 가진 자리입니다. [GovernmentOfficeItem]당 한 명의 공직자 직위를 뽑을 수 있습니다.
202;[Demographics]인구통계는 특정한 조건에 부합하는 사람을 한 집단으로 묶을 수 있습니다. 해당 집단은 정부와 관련된 부분에서 다양한 방법으로 사용될 수 있습니다.  [CensusBureauItem]에서 인구통계의 구분을 세 개까지 만들 수 있습니다.
203;[Districts]특정 범위의 영역을 설정해 법률 및 그밖에 다른 곳들에서 조건 중 하나로 이용할 수 있습니다.  [ZoningOfficeItem]에서 구역지도를 세 개까지 생성할 수 있습니다.
204;[Executive Actions]행정 업무는 일회성으로 법률을 제정하여 집행해 사회에 변화를 줄 수 있습니다. 헌법에서 권한을(공직자 직위) 부여받은 플레이어가 [ExecutiveOfficeItem]에서 집행할 수 있습니다.
205;  [Ballot Boxes|Civic Action Component]
  투표함을 이용해 선거와 공직 유지와 관련된 선거를 시행 할 수 있습니다.
206;  [Treasury|Treasury Component]
  경제의 다양한 부분에 세금을 도입할 수 있습니다.
207;공공의 이익을 증진을 위해 설계된 제도로 운영되고 있는 기관입니다.
209;법률은 정부가 대중들이 이루고자 하는 목표를 이뤄 세계를 변화시키기 위해 필요한 수단입니다.
법률은 [CourtItem]를 설치해 제정할 수 있고, [Civic Articles]에 따라 해당 법률의 통과에 선거가 필요한지 결정됩니다.  각 법률은 요건과 효과로 이루어진 목록들이 생성되며, 이를 이용해 법률요건에 충족되는 상황이 발생 시, 법률효과가 발생합니다.  이를 통해 법률을 더욱 유연하게 다방면으로 사용할 수 있게 되며, 세금 걷는 법을 규정하는 것부터 자금을 지원하는 것까지, 다양한 분야를 다룰 수 있게 됩니다.

'요건(조건)'의 다양성은 누가 조건을 충족했는지, 어디서 충족했는지 등의  전체적인 상황을 묘사할 수 있습니다. 이 '전체 상황'의 특성은 법률요건의 툴팁에서 확인 가능하며, 이를 통해 데이터를 특정하여 '효과'를 발생시킬 수 있습니다.  예를 들어, 나무를 베는 행동을 한 특정 플레이어에게 세금을 부과하는 법률효과를 발생시킵니다.
210;요건-충족-효과인 인과관계의 규칙은 주민들에 의해 제정되고, 사회적 목표를 달성하기 위하여 자동으로 시행됩니다.
211;주민들의 이익을 위해, 또는  적어도 정부의 자금난을 막기 위해, Eco의 세계에선 다양한 활동에 세금이 부과될 수 있습니다.
국고적 세금
[TreasuryItem]에서, 다음과 같이 다양한 활동에 세금을 부과 할 수 있습니다.
 - 판매세.  상점을 통해 물품을 거래할 때 세금이 부과됩니다.
 - 작업대 사용세. 자신이 소유하고 있는 작업대를 이용하게 해주어 요금을 부과합니다.
 - 계약자세. 계약과 동업 계약에 성공해 얻은 자금에서 세금이 부과됩니다.
 - 직접 양도세. 플레이어가 다른 플레이어에게 자금을 양도할 시 세금이 부과됩니다.
 - 자기 양도세. 플레이어에게 권한이 있는 다른 계좌에 자금을 옮길 경우 세금이 부과됩니다 (탈세를 방지하기 위해 설정할 수 있습니다).

[Elected Title|Elected Titles]를 가지고 있는 주민만이 '국고에서의 세금 비율 설정'의 권한이 부여됩니다.  설정해둔 모든 세금은 특수한 '국고' 계좌에 입금되도록 설정되어 있습니다.  국고의 특수한 기능을 이용하여 '국고' 계좌의 자금을 다른 계좌에 할당할 수 있습니다.

법적 세금
세금은 [Laws]을 통해서도 부과할 수 있으며, 부과 금액과 세금 보관 계좌는 유동적으로 변경할 수 있습니다. 세금을 보관할 계좌를 직접 설정할 수 있어, 그렇게 모인 자금을 특정한 주민에게 지급할 수 있으며, 해당 계좌는 권한을 가진 플레이어만이 접근 할 수 있습니다. 법률 제도를 이용한 세금은 특별한 목적을 위해 부과하는 것으로, 이는 상황에 따라 조절될 수 있습니다.

이에 관한 예시로, 공직자 직위인 '운수부 장관'의 직위를 가진 주민이 사용할 수 있도록 운수부를 위한 단독 [Bank Account|Bank Accounts]를 개설할 수 있습니다.  그 이후 연료의 생산 및 거래와 관련된 조세 법률을 제정해, 이를 통해 거두어진 세금을 운수부 자금으로 사용해, 선출된 운수부 장관이 이를 사업 자금으로 사용해 [Work Parties]으로 새로운 도로 공사를 실시 할 수 있게 됩니다.
212;경제 활동으로 인해 거두어진 세금을 이용해 공공사업에 자금을 지원해 도와주듯이, 경제적인 활동을 장려하거나, 저해 할 수 있습니다.
213;직위는 플레이어들을 기준에 따라 나눈 집단으로, 권한을 부여할 때 선택할 집단으로 사용할 수 있습니다.  이는 [Demographics]과는 다른 개념입니다. 직위는 주민들이 직접 지정한 집단이지만, [Demographics]은 조건에 충족하는 주민들을 집단에 자동으로 포함시킴으로, 이와 같은 차이점이 있습니다.
직위에는 다음과 같은 두 가지의 형태가 있습니다.

 - 일반 직위. 이 직위는 [RegistrarItem]에서 누구나 생성하고 관리할 수 있습니다.  이 곳에서, 직위를 만든 주민은 상대방에게 직위의 역할을 맡기고 관리하는 (관리자)의 역할을 부여할 수 있습니다.
 - 공직자 직위. 이 직위는 [GovernmentOfficeItem]에서 생성할 수 있으며 선거(또는 임명)를 통해 해당 직위를 받을 수 있습니다. 정부 부서의 기능을 통해서 주어진 직위에 어떤 종류의 [Election]가 필요한지 결정하게 됩니다.  직위의 소유자가 해임당하거나, 소유자가 사임할 경우(두 경우 모두 [BallotBoxItem]를 통해 이루어집니다), 또는 정해진 기간을 다 채웠을 때 직위가 해제됩니다.

공직자 직위는 세계를 통치하는 데 있어 다양한 유연함을 제공하며, 그 직위만의 특권은 계좌 자체에 묶이게 됩니다. 그 예시로, 운송수단을 이용하는 데에 세금을 부과하는 법률이 제정한 후, 거두어들인 세금은 '운송부 장관'만이 접근할 수 있는 계좌로 이동합니다. 이후 해당 직위의 선거가 시행되고 임명자가 바뀌게 된다면, 전 직위의 소유자는 해당 계좌에 접근할 수 있는 특권이 사라져 버리게 되는 것입니다.

공직자 직위의 조건을 설정함으로써, 주민이 자식의 직무를 수행하는 것을 보장해 좋은 정치를 이어나갈 수 있게 됩니다. 그 예시로,  모든 직위의 조건에 '활동적임' 인구 계층의 조건을 붙임으로써, 직위를 가지고 있는 사람들이 계속 접속하여 직무를 수행할 수 있게 됩니다. 이후, 만약 직위 소유자가 접속하지 않는 비활동 상태로 바뀐다면 자동으로 직위에서 해제되며, 후계로 명시된 인물이 해당 직위에 들어가게 됩니다.

또한, 직위 소유자에게는 급여를 지급할 수 있습니다. 급여는 주민이 직무를 지속적으로 수행한다면(급여 지급자가 자금이 충분할 경우에) 정기적으로 지급 됩니다.
214;직위는 다수의 주민이 소유할 수 있습니다.  권한을 부여하거나 급여를 지급하는 데에 사용됩니다.
215;주민들은 주거지 없이는 번영에 다가갈 수 없습니다, 또한 [Nutrition] 수치와 더불어 하우징 수치는 플레이어의 [Experience] 배율을 결정합니다.  주거지의 재료 등급이 높을수록, 가구의 종류가 더 다양할수록, 경험치의 배율 또한 높아집니다.
추가로, 구조물들을 작동시키기 위해 주거지와 조건을 갖춰야 합니다. 하우징 시스템은 다음과 같은 부분들로 이루어져 있습니다.
 - [Rooms]. 방은 완벽한 공간의 형태를 띄어야 하며, 대부분의 구조물은 방 안에 설치되어야만 작동하는 조건이 있습니다 .
 - [Property]. 주민들은 일정 범위의 땅을 소유하여, 해당 부지를 자신만의 땅으로 만들 수 있습니다.
 - [Power]. 다양한 물품들은 작동하기 위해선 에너지가 필요하며, 생산한 에너지는 다른 주민들과 공유할 수 있습니다.
 - [Sewage].  일부 물품들은 파이프와 펌프, 그리고 폐수 처리 시설을 필요로 합니다.
216;하우징(식단을 포함하여)은 스킬 포인트의 획득 비율을 결정합니다.
217;다양한 구조물들을 작동시키기 위해선 에너지가 필요합니다, 그리고 사회가 발전해 감에 따라 에너지의 종류 또한 다양해집니다.
